"Step","main_2D - ae","main_2D - ae__MIN","main_2D - ae__MAX","scalar_potential - ae","scalar_potential - ae__MIN","scalar_potential - ae__MAX"
"5000","0.0037790781352669","0.0037790781352669","0.0037790781352669","0.004438263364136219","0.004438263364136219","0.004438263364136219"
"10000","0.0032795644365251064","0.0032795644365251064","0.0032795644365251064","0.004058287478983402","0.004058287478983402","0.004058287478983402"
"15000","0.0031680739484727383","0.0031680739484727383","0.0031680739484727383","0.0033349432051181793","0.0033349432051181793","0.0033349432051181793"
"20000","0.003241289174184203","0.003241289174184203","0.003241289174184203","0.0022064996883273125","0.0022064996883273125","0.0022064996883273125"
"25000","0.002625602763146162","0.002625602763146162","0.002625602763146162","0.002501792972907424","0.002501792972907424","0.002501792972907424"
"30000","0.0027522866148501635","0.0027522866148501635","0.0027522866148501635","0.002102514961734414","0.002102514961734414","0.002102514961734414"
"35000","0.002807780634611845","0.002807780634611845","0.002807780634611845","0.002209373749792576","0.002209373749792576","0.002209373749792576"
"40000","0.002877098973840475","0.002877098973840475","0.002877098973840475","0.002258248394355178","0.002258248394355178","0.002258248394355178"
"45000","0.0027514335233718157","0.0027514335233718157","0.0027514335233718157","0.001970137469470501","0.001970137469470501","0.001970137469470501"
"50000","0.002722199773415923","0.002722199773415923","0.002722199773415923","0.0020419384818524122","0.0020419384818524122","0.0020419384818524122"
"55000","0.002629887545481324","0.002629887545481324","0.002629887545481324","0.002224516589194536","0.002224516589194536","0.002224516589194536"
"60000","0.0028908324893563986","0.0028908324893563986","0.0028908324893563986","0.0020116064697504044","0.0020116064697504044","0.0020116064697504044"
"65000","0.002712446032091975","0.002712446032091975","0.002712446032091975","0.0018119846936315298","0.0018119846936315298","0.0018119846936315298"
"70000","0.002559233922511339","0.002559233922511339","0.002559233922511339","0.001651453785598278","0.001651453785598278","0.001651453785598278"
"75000","0.002585040172562003","0.002585040172562003","0.002585040172562003","0.0016483253566548228","0.0016483253566548228","0.0016483253566548228"
"80000","0.002551370533183217","0.002551370533183217","0.002551370533183217","0.001836884766817093","0.001836884766817093","0.001836884766817093"
"85000","0.002651195041835308","0.002651195041835308","0.002651195041835308","0.001845820341259241","0.001845820341259241","0.001845820341259241"
"90000","0.0024613365530967712","0.0024613365530967712","0.0024613365530967712","0.0018819067627191544","0.0018819067627191544","0.0018819067627191544"
"95000","0.002635154640302062","0.002635154640302062","0.002635154640302062","0.0018638857873156667","0.0018638857873156667","0.0018638857873156667"
"100000","0.0023829841520637274","0.0023829841520637274","0.0023829841520637274","0.001668364042416215","0.001668364042416215","0.001668364042416215"
"105000","0.0024895365349948406","0.0024895365349948406","0.0024895365349948406","0.001747614936903119","0.001747614936903119","0.001747614936903119"
"110000","0.0025647152215242386","0.0025647152215242386","0.0025647152215242386","0.0017563330475240946","0.0017563330475240946","0.0017563330475240946"
"115000","0.0026360973715782166","0.0026360973715782166","0.0026360973715782166","0.001466717105358839","0.001466717105358839","0.001466717105358839"
"120000","0.002433998277410865","0.002433998277410865","0.002433998277410865","0.0014532950008288026","0.0014532950008288026","0.0014532950008288026"
"125000","0.002430928871035576","0.002430928871035576","0.002430928871035576","0.0016475870506837964","0.0016475870506837964","0.0016475870506837964"
"130000","0.00226304167881608","0.00226304167881608","0.00226304167881608","0.0016321152215823531","0.0016321152215823531","0.0016321152215823531"
"135000","0.0023593613877892494","0.0023593613877892494","0.0023593613877892494","0.0014739705948159099","0.0014739705948159099","0.0014739705948159099"
"140000","0.002545114839449525","0.002545114839449525","0.002545114839449525","0.001713379519060254","0.001713379519060254","0.001713379519060254"
"145000","0.002329123904928565","0.002329123904928565","0.002329123904928565","0.0016216275980696082","0.0016216275980696082","0.0016216275980696082"
"150000","0.002248569158837199","0.002248569158837199","0.002248569158837199","0.0014427707064896822","0.0014427707064896822","0.0014427707064896822"
"155000","0.0022441905457526445","0.0022441905457526445","0.0022441905457526445","0.0015129920793697238","0.0015129920793697238","0.0015129920793697238"
"160000","0.0021879104897379875","0.0021879104897379875","0.0021879104897379875","0.001533021917566657","0.001533021917566657","0.001533021917566657"
"165000","0.0021958835422992706","0.0021958835422992706","0.0021958835422992706","0.0015671042492613196","0.0015671042492613196","0.0015671042492613196"
"170000","0.0021548655349761248","0.0021548655349761248","0.0021548655349761248","0.001492970623075962","0.001492970623075962","0.001492970623075962"
"175000","0.002218429697677493","0.002218429697677493","0.002218429697677493","0.0014591397484764457","0.0014591397484764457","0.0014591397484764457"
"180000","0.0021082195453345776","0.0021082195453345776","0.0021082195453345776","0.0014479875098913908","0.0014479875098913908","0.0014479875098913908"
"185000","0.002002709312364459","0.002002709312364459","0.002002709312364459","0.0014418966602534056","0.0014418966602534056","0.0014418966602534056"
"190000","0.0021748391445726156","0.0021748391445726156","0.0021748391445726156","0.0015825480222702026","0.0015825480222702026","0.0015825480222702026"
"195000","0.0021482978481799364","0.0021482978481799364","0.0021482978481799364","0.0014170376816764474","0.0014170376816764474","0.0014170376816764474"
"200000","0.002040509134531021","0.002040509134531021","0.002040509134531021","0.0013340787263587117","0.0013340787263587117","0.0013340787263587117"
"205000","0.002198119880631566","0.002198119880631566","0.002198119880631566","0.001733019482344389","0.001733019482344389","0.001733019482344389"
"210000","0.0021526601631194353","0.0021526601631194353","0.0021526601631194353","0.0013842448825016618","0.0013842448825016618","0.0013842448825016618"
"215000","0.002000096021220088","0.002000096021220088","0.002000096021220088","0.001439379178918898","0.001439379178918898","0.001439379178918898"
"220000","0.00179329514503479","0.00179329514503479","0.00179329514503479","0.0014279619790613651","0.0014279619790613651","0.0014279619790613651"
"225000","0.00171043467707932","0.00171043467707932","0.00171043467707932","0.0014553405344486237","0.0014553405344486237","0.0014553405344486237"
"230000","0.0016140665393322706","0.0016140665393322706","0.0016140665393322706","0.0013572294265031815","0.0013572294265031815","0.0013572294265031815"
